response,rt_response,visibility,rt_visibility,correct_answer,category,subcategory,label,response_previous,rt_response_previous,visibility_previous,rt_visibility_previous,correct_answer_previous,category_previous,subcategory_previous,label_previous,sub,session,block
2,0.320315420627594,1,0.3503187298774719,1.0,Living_Things,Animals,horse,1,0.560302197933197,3,0.3003249764442444,1.0,Nonliving_Things,Vehicles,ship,sub-01,2,1
2,0.9803104996681212,2,0.3702743947505951,1.0,Living_Things,Birds,goldfinch,2,0.320315420627594,1,0.3503187298774719,1.0,Living_Things,Animals,horse,sub-01,2,1
2,0.6203000545501709,2,0.2503231763839721,1.0,Nonliving_Things,Kitchen_Uten,pot,2,0.9803104996681212,2,0.3702743947505951,1.0,Living_Things,Birds,goldfinch,sub-01,2,1
2,0.3803029656410217,1,0.2903182208538055,0.0,Living_Things,Insects,ladybird,2,0.6203000545501709,2,0.2503231763839721,1.0,Nonliving_Things,Kitchen_Uten,pot,sub-01,2,1
2,0.5303277969360352,1,0.3003111183643341,0.0,Nonliving_Things,Musical_Inst,trumpet,2,0.3803029656410217,1,0.2903182208538055,0.0,Living_Things,Insects,ladybird,sub-01,2,1
2,0.3703361749649048,2,0.1203173324465751,1.0,Living_Things,Insects,scorpion,2,0.5303277969360352,1,0.3003111183643341,0.0,Nonliving_Things,Musical_Inst,trumpet,sub-01,2,1
1,0.7103056311607361,1,0.3202769458293915,0.0,Living_Things,Birds,hen,2,0.3703361749649048,2,0.1203173324465751,1.0,Living_Things,Insects,scorpion,sub-01,2,1
1,0.6203810572624207,3,0.3503613471984863,1.0,Living_Things,Marine_creatures,killer-whale,1,0.7103056311607361,1,0.3202769458293915,0.0,Living_Things,Birds,hen,sub-01,2,1
2,0.5903095602989197,2,0.2903254330158233,1.0,Nonliving_Things,Vehicles,tractor,1,0.6203810572624207,3,0.3503613471984863,1.0,Living_Things,Marine_creatures,killer-whale,sub-01,2,1
1,0.940313994884491,3,0.4103607535362243,1.0,Nonliving_Things,Furniture,sofa,2,0.5903095602989197,2,0.2903254330158233,1.0,Nonliving_Things,Vehicles,tractor,sub-01,2,1
1,0.5403355956077576,1,0.24033884704113,0.0,Nonliving_Things,Vehicles,van,1,0.940313994884491,3,0.4103607535362243,1.0,Nonliving_Things,Furniture,sofa,sub-01,2,1
2,0.3103169202804565,1,0.2703148126602173,0.0,Living_Things,Animals,lioness,1,0.660403847694397,2,0.3303468525409698,1.0,Living_Things,Birds,magpie,sub-01,2,2
1,0.3503096401691437,1,0.3103245496749878,0.0,Living_Things,Birds,pigeon,2,0.3103169202804565,1,0.2703148126602173,0.0,Living_Things,Animals,lioness,sub-01,2,2
2,0.5903178453445435,1,0.4603164792060852,1.0,Nonliving_Things,Furniture,bedside-table,1,0.3503096401691437,1,0.3103245496749878,0.0,Living_Things,Birds,pigeon,sub-01,2,2
1,0.4304482340812683,3,0.3004328906536102,1.0,Living_Things,Birds,penguin,2,0.5903178453445435,1,0.4603164792060852,1.0,Nonliving_Things,Furniture,bedside-table,sub-01,2,2
2,0.3003093600273132,1,0.2904407680034637,1.0,Living_Things,Animals,turtle,1,0.4304482340812683,3,0.3004328906536102,1.0,Living_Things,Birds,penguin,sub-01,2,2
2,0.8403197526931763,3,0.530390202999115,1.0,Nonliving_Things,Buildings,castle,2,0.3003093600273132,1,0.2904407680034637,1.0,Living_Things,Animals,turtle,sub-01,2,2
1,0.8003169894218445,3,0.530430793762207,1.0,Nonliving_Things,Vehicles,bus,2,0.8403197526931763,3,0.530390202999115,1.0,Nonliving_Things,Buildings,castle,sub-01,2,2
1,0.6403700113296509,2,0.330309510231018,1.0,Nonliving_Things,Musical_Inst,piano,1,0.8003169894218445,3,0.530430793762207,1.0,Nonliving_Things,Vehicles,bus,sub-01,2,2
2,0.6103519201278687,1,0.2703493237495422,1.0,Living_Things,Birds,owl,1,0.6403700113296509,2,0.330309510231018,1.0,Nonliving_Things,Musical_Inst,piano,sub-01,2,2
2,0.320345789194107,1,0.3103131651878357,1.0,Nonliving_Things,Furniture,armchair,2,0.6103519201278687,1,0.2703493237495422,1.0,Living_Things,Birds,owl,sub-01,2,2
1,0.5702551007270813,3,0.3802678883075714,1.0,Nonliving_Things,Furniture,Chest-of-drawers,2,0.320345789194107,1,0.3103131651878357,1.0,Nonliving_Things,Furniture,armchair,sub-01,2,2
2,0.3003287315368652,1,0.5003080368041992,1.0,Nonliving_Things,Furniture,bed,1,0.5702551007270813,3,0.3802678883075714,1.0,Nonliving_Things,Furniture,Chest-of-drawers,sub-01,2,2
1,0.5903558135032654,2,0.280347615480423,1.0,Living_Things,Birds,ostrich,2,0.3003287315368652,1,0.5003080368041992,1.0,Nonliving_Things,Furniture,bed,sub-01,2,2
2,0.360118955373764,1,0.4003170430660248,1.0,Living_Things,Birds,pelican,1,0.5903558135032654,2,0.280347615480423,1.0,Living_Things,Birds,ostrich,sub-01,2,2
1,0.5803110599517822,1,0.3403085172176361,0.0,Nonliving_Things,Buildings,church,2,0.360118955373764,1,0.4003170430660248,1.0,Living_Things,Birds,pelican,sub-01,2,2
1,0.7703077793121338,3,0.3803269565105438,1.0,Nonliving_Things,Furniture,chair,1,0.5803110599517822,1,0.3403085172176361,0.0,Nonliving_Things,Buildings,church,sub-01,2,2
2,0.4301006197929382,3,1.1903082132339478,1.0,Nonliving_Things,Vehicles,plane,1,0.7703077793121338,3,0.3803269565105438,1.0,Nonliving_Things,Furniture,chair,sub-01,2,2
